Key,"Spanish (Mexico), es_MX","English, en-US"
AreasAsignadas,Areas Asignadas (Pipas),Assigned Areas (Thank Trucks)
AreasOtorgadas,Areas Otorgadas,Assigned Areas
AreasPipasAsignadas,Areas de Pipa,Thank Truck Areas
AreasSeleccionadas,Areas Seleccionadas,Selected Areas
AsignaCargaManual,Asigna Carga Manual,Manual Consumption
AsignacionExistosa,Asignacion Existosa,Successful Assignment
Asignado,Asignado,Assigned
AsignadoA,Asignado A,Assigned to
AsignarCargaManualPregunta,¿Desea asignar esta carga manual?,Are you sure you want to assign the manual consumption?
AsignarGerencias,Asignar Gerencias,Assign Managements
AsignarGerenciasUsuarioPregunta,¿Desea asignar esta gerencia al usuario?,Are you sure you want to assign this management to the user?
AsignarImagenPregunta,¿Desea asignar la imagen al usuario?,Do you want to assign the image to the user?
AtencionAFuturo,Atencion a Futuro,Check Later
Auditoria,Auditoria,Audit
Autorizado,Autorizado,Authorized
AutorizadoFechaHora,Fecha de autorización,Authorization date
AutorizadoSupervisor,Autorizado Supervisor,Authorized by Supervisor
Autorizar,Autorizar,Authorize
AutorizarCargaManual,Autorizar Carga Manual,Authorize Manual dispatch
AutorizarPregunta,¿Quiere enviar su firma de autorización?,Do you want to send your Authorization signature?
Bahia,Bahía,Bay
BancoTareas,Banco de Tareas,Tasks Bank
BitacoraConsumos,Bitácora de Consumos,Consumptions' Logbook
Bitacoras,Bitácoras,Logbooks
BitacoraServicios,Bitácora de Servicios,Services Log
BitacoraTags,Bitácora de Tags,Tags' Logbook
BombaFueraLinea,Bomba fuera de línea,Pump is offline
BombeadoPor,Bombeado Por,Pumped By
Bombeo,Bombeo,Pumping
Borrar,Borrar,Delete
BorrarAreaPregunta,¿Desea borrar el Área?,Are you sure you want to delete the area permanently?
BorrarEquipoEstacionPregunta,¿Desea borrar el registro de Equipo de Estación?,Are you sure you want to delete the specified station equipment record?
BorrarEquipoPipaPregunta,¿Desea borrar el registro de Operador?,Are you sure you want to delete the specified tank truck record?
BorrarEstacionPregunta,¿Desea borrar la estación?,Are you sure you want to delete the specified station?
BorrarGerenciaPregunta,¿Desea borrar la Gerencia?,Are you sure you want to delete the management permanently?
BorrarOperadorPregunta,¿Desea borrar el registro de Operador?,Are you sure you want to delete the specified operator?
BorrarProductoPregunta,¿Desea borrar el registro de Producto?,Are you sure you want to delete the specified Product?
BorrarRegistroPregunta,¿Desea borrar este registro?,Are you sure you want to delete this record?
BorrarRolConfirmacion,Si quiero borrarlo,Yes I want to delete it
BorrarRolPregunta,¿Desea borrar el rol permanentemente?,¿Are you sure you want to delete the role permanently?
BorrarTareaListaToolTip,Borrar tarea de la lista.,Delete task from list
BorrarUsuarioPregunta,¿Desea borrar el usuario?,Are you sure you want to delete the user permanently?
BotonCerrarSesion,Cerrar Sesión,Sign off
Buscar,Buscar,Search
CadaCuantasHoras,Cada cuantas horas,Every how many hours
CambiadoConExitoMensaje,¡Cambio existosamente!,Changed successfully!
CambiaEstadoMantenimientoHastasSiguienteCarga,Cambia el equipo a estado de mantenimiento hasta que se registre la siguiente carga,Switches the equipment to maintenance state until the next charge is registered
CambiarContrasenia,Cambiar contraseña,Change password
CambiarEstadoEstacionConfirmacion,Si quiero cambiar su estado,Yes I want to change its status
CambiarEstadoMantenimiento,Cambiar Estado a Mantenimiento,Change Status to Maintenance
CambioEstado,Cambio de estado actual,Change the current status
CanacelarReservacionActual,Canacelar reservacion actual,Cancel current reservation
Cancelado,Cancelado,Cancelled
Cancelar,Cancelar,Cancel
CancelaReservaActual,Cancela Reserva Actual,Cancfel current reservation
Cantidad,Cantidad,Quantity
CantidadenLtsAAsignar,Cantidaden Lts a asignar,Quantity to assign (Lts)
CantidadFacturada,Cantidad Facturada,Invoiced Amount
CantidadFacturadaPorProveedor,CANTIDAD FACTURADA POR PROVEEDOR,AMOUNT INVOICED BY SUPPLIER
CantidadLTS,Cantidad Lts,Quantity Lts
CantidadMermaGeneradaPorProveedor,CANTIDAD MERMA GENERADA POR PROVEEDOR,LOSSES PER SUPPLIER
CantidadMermaProveedor,CANTIDAD DE MERMA GENERADA POR PROVEEDOR,AMOUNT OF WASTE GENERATED BY SUPPLIER
CantidadReservaEnLts,Cantidad reserva en Lts,Reserve quantity in liters
CantidadRespuestas,Cantidad de Respuestas,Number of Answers
CantidadTareasActual,Cantidad actual de tareas,Current amount of tasks
Capacidad,Capacidad,Capacity
Capacidades,Capacidades,Capacities
CapacidadMaxima,Capacidad Máxima,Operational Maximum
CapacidadOperativa,Capacidad Operativa,Operational Capacity
CapacidadOperativaRegla,Capacidad operativa no puede ser mayor que capacidad máxima,Operational capacity cannot be bigger than maximum capacity
CapacidadTanque,Capacidad del Tanque,Tank capacity
CargaFinalizada,Carga Finalizada,Finished Transaction
Cargando,Cargando,Loading
CargandoEstadoBahia,Cargando estado de Bahía,Loading Bay State
Cargas,Cargas,Delivery
CargasBombeo,Cargas Bombeo,Pumping Consumption
CargasManualesSinAsignar,Cargas manuales sin asignar,Unassigned manual consumptions
CargasSinAsignar,Cargas sin asignar,Unassigned consumptions
CargasTanques,Cargas Tanques,Tanks Consumption
CartaPorte,Carta Porte,Waybill
Categorias,Categorias,Categories
Cerrar,Cerrar,Close
CerrarNavegacion,Cerrar Navegación,Close Navigation
CheckboxErrorConfirmacion,Necesitas confirmar la acción,You need to confirm the action
ChecklistEntradaSinRespuestas,El checklist de entrada no tiene respuestas,Recption checklist has no answers
ChecklistMAN,Checklist Mantenimiento,Maintenance Checklist
ChecklistSalidaSinRespuestas,El checklist de salida no tiene respuestas,The Departure checklist has no answers
ChecklistsCompleatadosSinEntradaTooltip,Checklist sin revisión de entrada completados.,Checklists completed without reception review.
ChecklistsCompleatadosTooltip,Checklist de entrada y salida completados.,Reception and departure checklists completed.
ChecklistsEnProcesoTooltip,Checklist de salida en progreso.,Departure checklist in progress.
ChecklistSinRespuestaRegistrada,CheckList sin respuestas registrada,CheckList with no answers registered
ChecklistSinRespuestas,Los checklists de entrada y salida no tienen respuestas,The reception and departure Checklists have no answers
CheckListSinRespuestasRegistrada,Checklist sin respuestas registradas,Unanswered checklist recorded
ChecklistsPendienteTooltip,En espera de revisón de salida.,Awaiting departure review.
ChecklistsSalidaEnProcesoTooltip,Checklist de salida  sin revisión de entrada en progreso.,Departure checklist without reception review in progress.
Clave,Clave,Key
ClaveAcceso,Clave de acceso,Access code
ClickParaMasDetalles,Click aquí para ver más detalles,Click here to see more details
Codigo,Código,Code
CodigoAplicacion,Codigo Aplicación,App Code
ColoqueSuNuevoPassword,Coloque sus nuevas credenciales,Place your new credentials
CombinarConVehiculosPesados,Combinar con Vehículos Pesados,Combine with Heavy Vehicles
CombinarPipas,Combinar con Pipas,Combine with Tank trucks
CombinaVehiculosPesadosTooltip,Combina todos los despachos de Vehículos Pesados con Pipas para generar un solo reporte con información general.,Combine all the Heavy Vehicles with Pipes transactions to generate a single report with general information.
Combustible,Combustible,Fuel
Combustibles,Combustibles,Fuels
Comentario,Comentario,Comment
ComenzoCargaFechaHora,Fecha-Hora inicio carga,Transaction start time and date
ComparacionDestinos,Comparación Destinos,Destination Comparison
ComparacionDispositivos,"""Comparación Dispositivos""","""Device Comparison"""
Compensacion,Compensación,Compensation
CompensacionDespachos,Compensaciones de Consumos,Consumption Compensation
CompletarCampo,"Por favor, complete este campo.",This field cannot be empty.
CompruebaLaEstacionLocal,"Si esto no sucede, compruebe la conexión de red de la estación local","If this does not happen, check the network connection of the local station"
Conductor,Conductor,Driver
Conductores,Conductores,Drivers
ConectadoSinDatosEnTiempoReal,Conectado a la estación pero no se reciben datos en tiempo real. Se muestra la última lectura registrada,Connected to the station but no real time data is received. The last recorded reading is displayed
ConectandoseEstacion,Conectandose a la Estación,Connecting to the Station
ConEspoPodemosConectarnos,Con eso podremos conectarnos y monitorearla remotamente,"With that, we can connect and monitor it remotely"
Configuracion,Configuración,Settings
ConfigurarActividades,Configurar Actividades,Tasks Settings
ConfiguraReporte,Configura tu Reporte,Set your Report
Confirmar,Confirmar,Confirm
ConfirmarContraNueva,Confirme contraseña nueva,Confirm new password
ConfirmarDatosEquipoCorrectosPregunta,¿Desea confirmar que los datos actuales del equipo son correctos?,Do you want to confirm that the current device data is correct?
ConsulaNoEncontroInformacion,La consulta realizada no encontró información,No data has been found with the parameters specified
Consulta,Consulta,Query
ConsultaDel,Consulta del día,Query On
ConsultaEntre,Consulta Entre,Query Between
ConsultaMes,Consulta del Mes,Month's data
ConsultraEntre,Consulta Entre,Query Between
Consumo,Consumo,Consumption
ConsumoCombustibleContraCargado,Consumo contra cargado en tanque,Fuel Consumption vs refueled
ConsumoDiario,Consumo diario,Daily fuel consumption
ConsumoDiarioCombutible,Consumo Diario de Combustible,Daily Fuel Consumption
ConsumoDiarioDispositivo,Consumo Diario por Dispositivo,Daily Consumption per Device
ConsumoDiarioSemana,Consumo diario de la Semana,Daily fuel consumption per week
ConsumoEnLitros,Consumos en Litros,Consumption in Liters
ConsumoHoraDispositivo,Consumo Por Dispositivo,Consumption by Device
ConsumoMensual,Consumo Mensual,Monthly Consumption
ConsumoPlaneadoProveedor,CONSUMO PLANEADO POR PROVEEDOR,PLANNED CONSUMPTION BY SUPPLIER
ConsumoPorHora,Consumo por Hora,Consumption per hour
ConsumoProductosEstaciones,Consumo de Productos por Estaciones,Product Consumption per Station
Consumos,Consumos,Consumption
ConsumosAceites,Consumos de Aceites,Oil Consumption
ConsumosAceitesTipoEquipo,Consumos de Aceites por Tipo de Equipo,Oil consumption per equipment type
ConsumosCombustibleEstaciones,Consumos de combustible por Estaciones,Fuel consumption per Station
ConsumosCombustiblePipas,Consumos de combustible por Pipas,Fuel Consumption per Tank Truck
ConsumosCombustibleSitio,Consumos de combustible por Sitio,Fuel Consumption per Site
ConsumosCombustibleTipoEquipo,Consumos de combustible por Tipo de Equipo,Fuel Consumption per Equipment Type
ConsumosDiarioAceites,Consumos diario de aceites,Daily oil consumption
ConsumoSemanal,Consumo Semanal,Weekly Consumption
ConsumosMensualesProducto,Consumos Mensuales por Producto,Monthly Consumption per Product
ConsumosMensualesTipoAceite,Consumos Mensuales por Tipo de Aceite,Monthly consumption per oil type
ConsumosOrquesta,Consumos de Orquesta,Orquesta Consumption
ConsumosVehiculos,Consumos Vehículos,Vehicle Consumption
ConsumosVL,Consumos VL,Consumption VL
ContenidoRestringido,Contenido Restringido,Content unavailable
Continuar,Continuar,Continue
ContraIguales,* Las contraseñas deben ser iguales,* Passwords must be the same
ContraLongitud,* Las contraseñas deben tener al menos 5 caracteres.,* Passwords must be at least 5 characters long.
ContraNueva,Contraseña nueva,New password
ControlDiesel,Control Diesel,Diesel Control
Coriolis,Coriolis,Coriolis
CoriolisOFF,Coriolis sin flujo,Coriolis without flow
CoriolisON,Coriolis con flujo,Coriolis with flow
Corregido,CORREGIDO,CORRECTED
Correo,Correo,Email
CorreoAutomatico,Correo Automático,Automated Email
CorreoElectronico,Correo Electronico,Email
CorreosAutomaticos,Correo automáticos,Automated emails
CortesDiarios,Cortes Diarios,Daily Consumption
CortesPorHora,Cortes por hora,Hourly Consumption
CRÍTICO,CRÍTICO,CRITICAL
Crear,Crear,Create
CrearArea,Crear Area,Create Area
CrearAreaAceite,Crear Area Aceite,Create Oil Area
CrearAreaPipaPregunta,¿Desea crear el registro de Area de Pipa?,Are you sure you want to create a new tank truck location record?
CrearAreaPipas,Crear Area de Pipas,Create Tank Truck Location
CrearAreaPregunta,¿Desea crear una area nueva?,Are you sure you want to create a new area record?
CrearAreaVP,Crear Área VP,Create HV Area
CrearChecklist,Crear Checklist,Create Checklist
CrearCompensacionDespacho,Crear Compensación de Despacho,Create Consumption Compensation
CrearCompensacionDespachoPregunta,¿Desea crear la entrada de Compensación de Despacho?,Are you sure you want to create a Consumption Compensation record?
CrearConductor,Crear Conductor,Create Driver
CrearCorreoAutomatico,Crear correo automático,Create automated email
CrearCorreoAutomaticoPregunta,¿Desea crear el registro de correo automático?,Are you sure you want to create the automated email record?
CrearDispositivo,Crear Dispositivo,Create Device
CrearEditarUsuarioAreaPipaHint,Esta opción solo es utilizada por usuarios que editarán o crearán Equipos de Pipas. Restringe el listado solo a los equipos de las áreas asignadas al usuario. Se puede dejar en blanco si no utilizará esta función,This option is only used for users who will edit or create Thank Truck Equipments. Restricts the listing and filters equipments whose area he's been assigned to. It can be left blank if the user will not tamper with these parameters
CrearEntradaBitacora,Crear entrada en Bitácora,Create Logbook Entry
CrearEntradaBitacoraPregunta,¿Desea crear la entrada en Bitácora de Tags?,Are you sure you want to create a Tag Logbook record?
CrearEquipo,Crear Equipo,Create Equipment
CrearEquipoEstacion,Crear Equipo de Estación,Create Station Equipment
CrearEquipoEstacionPregunta,¿Desea crear el registro de Equipo de Estación?,Are you sure you want to create a station equipment record?
CrearEquipoPipa,Crear Equipo Pipa,Create Tank Truck Equipment
CrearEquipoPipaPregunta,¿Desea crear el registro de Equipo de Pipa Móvil?,Are you sure you want to create a tank truck equipment record?
CrearEstacion,Crear Estación,Create Station
CrearEstacionPregunta,¿Desea crear el registro de estación?,Are you sure you want to create a new station record?
CrearFactura,Crear Factura,Create Invoice
CrearFamilia,Crear Familia,Create Family
CrearFamiliaPregunta,¿Desea crear el registro de familia?,Are you sure you want to create a new family record?
CrearGerencia,Crear Gerencia,Create Top Management
CrearGerenciaPregunta,¿Desea crear una nueva gerencia?,Are you sure you want to create a new management record?
CrearLimiteConsumo,Crear limite consumo,Create consumption limit
CrearLimiteConsumoPregunta,¿Desea crear el límite de consumo seleccionado?,Are you sure you want to create the consumption limite record?
CrearMedicion,Crear Medición de Particulas,Create Particle Measurement
CrearNivel,Crear Nivel,Create Level
CrearOperador,Crear Operador,Create Operator
CrearOperadores,Crear Operadores,Create Operators
CrearOperadorPregunta,¿Desea crear el registro de Operador?,Are you sure you want to create an operator record?
CrearOrigen,Crear Origen,Create Origin
CrearOrquesta,Crear Orquesta,Create Station
CrearPersonal,Crear Personal,Create Staff Membrer
CrearPersonaResponsable,Registrar persona responsable,Registrar persona responsable
CrearPipa,Crear Pipa,Create Tank Truck
CrearPipaPregunta,¿Desea crear el registro de Pipa?,Are you sure you want to create a tank truck record?
CrearPlantillas,Crear Plantillas,Create Templates
CrearPregunta,¿Desea crear el registro especificado?,Are you sure you want to create the specified record?
CrearPreungta,¿Desea crear el registro especificado?,Are you sure you want to create the specified record?
CrearProducto,Crear Producto,Create Product
CrearProveedor,Crear Proveedor,Create Supplier
CrearRegistroPregunta,¿Desea crear este registro?,Are you sure you want to create this record?
CrearReserva,Crear Reserva,Create Reserve
CrearResponsables,Crear Responsable,Create Responsible
CrearRolPregunta,¿Desea crear el Rol?,Are you sure you want to create the specified role?
CrearTanque,Crear Tanque,Create Tank
CrearTarea,Crear Tarea,Create Task
CrearTipo,Crear Tipo,Create Type
CrearTipoEquipo,Crear Tipo de Equipo,Create Equipment Type
CrearTipoEquipoPregunta,¿Desea crear el tipo de equipo?,Are you sure you want to create the type of equipment record?
CrearTipoEstacion,Crear Tipo Estación,Create station type
CrearTipoEstacionPregunta,¿Desea crear el registro de tipo de estación?,Are you sure you want to create a new station type record?
CrearTipoPlantilla,Crear Tipo de Plantilla,Create template type
CrearTransportista,Crear Transportista,Create Carrier
CrearUsuario,Crear Usuario,Create User
CrearUsuarioPregunta,¿Desea registrar al usuario?,Are you sure you want to create a new user?
Critico,Crítico,Critical
Cuenta,Cuenta,Profile
DatellesDeFactura,Datelles de Factura,Invoice details
DatoActualizado,Dato Actualizado,Updated Data
DatoAnterior,Dato Anterior,Previous Data
Datos,Datos,Data
DatosCarga,Datos de Carga,Transaction Data
DatosDeFactura,Datos de Factura,Invoice Data
DatosDeProveedor,Datos de Proveedor,Supplier Data
DatosEquipo,Datos de Equipo,Equipment's Information
DatosGenerales,Datos Generales,General Data
DatosMerma,Datos Merma,Shrinkage Data
DatosPipa,Datos de Pipa,Tank Truck's Information
DeactivarPipaPregunta,¿Desea desactivar la pipa?,Are you sure you want to disable the specified tank truck?
DebeIngresarNombre,Debe ingresar un nombre de plantilla,Enter the template name
DebeIngresarNombreRol,Debe ingresar un nombre para el rol,You must enter a name for the role
DebeIngresarTipo,Debe ingresar tipo de plantilla,You must enter type of template
DebeSeleccionarModulo,Debe seleccionar al menos un módulo,You must select at least one module
Del,del,of
DelAnio,Del,During
DelFinalDia,del final del día,the end of the day
DelMes, Del Mes, Of the month
Densidad,Densidad,Density
DensidadCalculada,Densidad Calculada,Calculated Density
DensidadFinal,Densidad Final,Final Density
DensidadInicial,Densidad Inicial,Initial Density
Desactivado,Desactivado,Deactivated
DesactivarCombustiblePregunta,¿Desea desactivar el combustible?,Are you sure you want to disable the specified fuel?
DesactivarEquipoEstacionPregunta,¿Desea desactivar el registro de Equipo de Estación?,Are you sure you want to disable the specified station equipment record?
DesactivarEquipoPipaPregunta,¿Desea desactivar el registro de Pipa Móvil?,Are you sure you want to disable the specified tank truck record?
DesactivarEstacionPregunta,¿Desea desactivar la estación?,Are you sure you want to disable the specified station?
DesactivarModoMantenimiento,Desactivar Modo Mantenimiento,Disable maintenance mode
DesactivarOperadorPregunta,¿Desea desactivar el registro de operador?,Are you sure you want to disable the specified operator?
DesactivarRegistro,Desactivar Registro,deactivate record
DesactivarRegistroPregunta,¿Desea desactivar este registro?,Are you sure you want to deactivate this record?
DesactivarRolPregunta,¿Desea desactivar el rol?,Are you sure you want to disable the specified role?
DesactivarUsuarioPreguntna,¿Desea desactivar el usuario?,Are you sure you want to disable the specified user?
DescargarReporte,Descargar reporte,Download report
DescargarReporteServicios,Descargar Reporte de Servicio,Download Service Report
Descripcion,Descripción,Description
DescripcionEquipo,Descripcion Equipo,Equipment Description
DescripcionEstatusTareasAF,Tareas que no necesitan atencion de manera inmediata,Tasks that do not need immediate attention
DescripcionEstatusTareasCritico,Tareas que necesitan antención urgente,Tasks that need urgent attention
DescripcionEstatusTareasNA,Tareas que no pueden ser realizadas a este equipo,Tasks that cannot be apply on this vehicle
DescripcionEstatusTareasOK,Tareas realizadas satisfactoriamente,Tasks Completed Satisfactorily
DescripcionFirmaAutorizadoEntrega,"Al firmar, el supervisor autoriza la finalizacion del checklist de Entrega","When signing, the supervisor authorizes the completion of the Delivery checklist."
DescripcionFirmaAutorizadoRecepcion,"Al firmar, el supervisor autoriza la finalizacion del checklist de Recepción","When signing, the supervisor authorizes the completion of the Reception checklist."
DescripcionTarea,Descripción Tarea,Task Description
DeseaActivarModoMantenimientoPregunta,¿Desea activar modo mantenimiento?,Do you want to activate the maintenance mode?
DeseaCambiarEstadoEquipoPregunta,¿Desea cambiar el estado del equipo a modo mantenimiento?,Do you want to change the status of the equipment to maintenance mode?
DeseaCancelarReservaPregunta,¿Desea cancelar la reserva?,Do you want to cancel this reservation?
DeseaDesctivarModoMantenimientoPregunta,¿Desea desactivar modo mantenimiento?,Do you want to disable the maintenance mode?
DeseaHacerReserva,¿Desea realizar la reserva?,Do you want to create this reservation?
Despachado,Despachado,Dispatched
DespachadoContraTotalizados,Despachado Contra Totalizados,Consumed vs Totalized
DespachoDiarioOperador,Despacho diario por operador,Daily consumption per operator
DespachosMensualOperadores,Despachos Mensual de Operadores,Monthly consumption per operator
Destinatarios,Destinatarios,Addressees
Detalles,Detalles,Details
DetallesTareaPendiente,Detalles Tarea Pendiente,Pending Task Details
DetenerMonitoreo,DETENER MONITOREOS,STOP MONITORING
Dia,Día,Day
DiaAnterior,Dia Anterior,Yesterday
DiasDeLaSemana,Días de la Semana,Days of the Week
DiaSiguiente,Dia Siguiente,Tomorrow
DiasInspeccionados,Días inspeccionados,Days inspected
DiasSeleccionados,Días Seleccionados,Selected days
Diciembre,Diciembre,December
DiciembreCortos,DIC,DEC
Diferencia,Diferencia,Difference
DiferenciaComparativa,Diferencia de la comparación,Comparison difference
DiferenciaEntreDespachado,Diferencia Entre Despachado,Differences Between Transactions
Diferencias,Diferencias,Differences
DiferenciaTotalizados,Diferencia Totalizados,Totalizers Difference
Disciplina,Disciplina,Discipline
Dispensario,Dispensario,Pump
Disponible,Disponible,Available
DisponibleProx,Disponible Proximamente...,It will be available soon...
Dispositivo,Dispositivo,Device
DispositivoDeMedicion,Dispositivo de Medicion,Measuring Device
Dispositivos,Dispositivos,Devices
Documentacion,Documentación,Documentation
Domingo,Domingo,Sunday
DomingoCorto,DOM,SUN
Duracion,Duración,Duration
Economico,Económico,Economic
Editar,Editar,Edit
EditarArea,Editar Area,Edit Area
EditarAreaAceite,Editar Area Aceite,Edit Oil Area
EditarAreaPipaPregunta,¿Desea editar el registro de Area Pipa?,Are you sure you want to modify the tank truck location record?
EditarAreaPipas,Editar Area de Pipas,Edit Tank Truck Location
EditarAreaPregunta,¿Desea editar el area?,Are you sure you want to modify the area record?
EditarAreaVP,Editar Área VP,Edit HV Area
EditarChecklist,Editar Checklist,Edit Checklist
EditarCompensacionDespacho,Editar Compensación de Despacho,Edit Consumption Compensation
EditarCompensacionDespachoPregunta,¿Desea modificar la entrada de Compensación de Despacho?,Are you sure you want to modify the Consumption Compensation record?
EditarConductor,Editar Conductor,Edit Driver
EditarCorreoAutomatico,Editar correo automático,Edit automated email
EditarCorrreoAutomaticoPregunta,¿Desea editar el registro de correo automático?,Are you sure you want to modify the automated email record?
EditarDespacho,Editar Despacho,Edit Consumption
EditarDespachoPregunta,¿Desea editar el despacho?,Are you sure you want to modify the consumption record?
EditarDispositivo,Editar Dispositivo,Edit Device
EditarEquipo,Editar Equipo,Edit Equipment
EditarEquipoEstacion,Editar Equipo de Estación,Edit Station Equipment
EditarEquipoEstacionPregunta,¿Desea editar el registro de Equipo de Estación?,Are you sure you want to modify a station equipment record?
EditarEquipoPipa,Editar Equipo Pipa,Edit Tank Truck Equipment
EditarEquipoPipaPregunta,¿Desea editar el registro de Equipo de Pipa Móvil?,Are you sure you want to modify a tank truck equipment record?
EditarEstacion,Editar Estación,Edit Station
EditarEstacionPregunta,¿Desea editar el registro de estación?,Are you sure you want to modify the station record?
EditarFactura,Editar Factura,Edit Invoice
EditarFamilia,Editar Familia,Edit Family
EditarFamiliaPregunta,¿Desea editar el registro de familia?,Are you sure you want to modify the family record?
EditarGerencia,Editar Gerencia,Edit Top Management
EditarInformacion,Editar Información,Edit Information
EditarLimiteConsumo,Editar límite de consumo,Edit Consumption Limit
EditarLimiteConsumoPregunta,¿Desea editar el límite de consumo seleccionado?,Are you sure you want to edit the selected consumption limit record?
EditarNivel,Editar Nivel,Edit Level
EditarOperador,Editar Operador,Edit Operator
EditarOperadores,Editar Operadores,Edit Operators
EditarOperadorPregunta,¿Desea editar el registro de Pipa?,Are you sure you want to edit an operator record?
EditarOrigen,Crear Editar,Edit Origin
EditarPerfil,Editar Perfil,Edit Profile
EditarPersonal,Editar Personal,Edit Staff Member
EditarPipa,Editar EPipa,Edit Tank Truck
EditarPipaPregunta,¿Desea editar el registro de Pipa?,Are you sure you want to modify a tank truck record?
EditarPlantilla,Editar Plantilla,Edit Template
EditarPlantillas,Editar Plantillas,Edit Templates
EditarPregunta,¿Desea editar el registro especificado?,Are you sure you want to edit the specified record?
EditarProducto,Editar Producto,Edit Product
EditarProveedor,Editar Proveedor,Edit Supplier
EditarRegistroPregunta,¿Desea editar este registro?,Are you sure you want to modify this record?
EditarResponsables,Editar Responsable,Edit Responsible
EditarRolPregunta,¿Desea editar el Rol?,Are you sure you want to modify the specified role?
EditarTanque,Editar Tanque,Editar Tank
EditarTarea,Editar Tarea,Edit Task
